ab_size	ba_size	count	fraction	fraction_gt_or_eq_size
1	0	1601609	0.08753	1
1	1	269906	0.014751	0.540644
2	0	1046703	0.057204	0.897719
2	1	412334	0.022535	0.525893
2	2	185821	0.010155	0.448509
3	0	886981	0.048475	0.807825
3	1	290368	0.015869	0.493203
3	2	304676	0.016651	0.438354
3	3	142198	0.007771	0.370037
4	0	796237	0.043516	0.719059
4	1	203073	0.011098	0.452911
4	2	238931	0.013058	0.413932
4	3	254333	0.0139	0.362266
4	4	124365	0.006797	0.297844
5	0	737086	0.040283	0.630691
5	1	143521	0.007844	0.408059
5	2	186113	0.010171	0.380177
5	3	216181	0.011815	0.34157
5	4	231351	0.012644	0.291047
5	5	115561	0.006316	0.230009
6	0	675984	0.036944	0.541619
6	1	104022	0.005685	0.35927
6	2	143040	0.007817	0.339232
6	3	179915	0.009833	0.310796
6	4	205621	0.011237	0.272088
6	5	217548	0.011889	0.223693
6	6	106949	0.005845	0.168396
7	0	605823	0.033109	0.452369
7	1	76262	0.004168	0.306963
7	2	109629	0.005991	0.29261
7	3	144879	0.007918	0.271991
7	4	175603	0.009597	0.243116
7	5	192800	0.010537	0.205959
7	6	196107	0.010718	0.162552
7	7	93634	0.005117	0.116027
8	0	520970	0.028472	0.365214
8	1	56738	0.003101	0.252918
8	2	81556	0.004457	0.242733
8	3	113490	0.006202	0.228105
8	4	142884	0.007809	0.207148
8	5	162757	0.008895	0.179587
8	6	169702	0.009274	0.146717
8	7	165391	0.009039	0.11091
8	8	74287	0.00406	0.07489
9	0	427065	0.02334	0.283905
9	1	41343	0.002259	0.20008
9	2	60091	0.003284	0.192996
9	3	85436	0.004669	0.182826
9	4	110674	0.006048	0.168071
9	5	129829	0.007095	0.148319
9	6	139302	0.007613	0.124344
9	7	137677	0.007524	0.097811
9	8	127112	0.006947	0.07083
9	9	54950	0.003003	0.045246
10	0	334616	0.018287	0.212122
10	1	29618	0.001619	0.151637
10	2	43160	0.002359	0.146812
10	3	61716	0.003373	0.139925
10	4	82057	0.004485	0.12984
10	5	99306	0.005427	0.116137
10	6	108195	0.005913	0.099256
10	7	108979	0.005956	0.080337
10	8	101633	0.005554	0.06088
10	9	88303	0.004826	0.042243
10	10	36507	0.001995	0.02558
11	0	252389	0.013793	0.152328
11	1	20520	0.001121	0.11013
11	2	29632	0.001619	0.106924
11	3	43345	0.002369	0.102397
11	4	58668	0.003206	0.095684
11	5	71951	0.003932	0.086465
11	6	79911	0.004367	0.075012
11	7	81167	0.004436	0.062005
11	8	77561	0.004239	0.048504
11	9	68366	0.003736	0.035422
11	10	56750	0.003101	0.023585
11	11	22635	0.001237	0.013609
12	0	179962	0.009835	0.10517
12	1	14268	0.00078	0.076765
12	2	19930	0.001089	0.074681
12	3	29621	0.001619	0.071772
12	4	40955	0.002238	0.067429
12	5	50079	0.002737	0.061416
12	6	56550	0.003091	0.053895
12	7	58749	0.003211	0.045256
12	8	56137	0.003068	0.036191
12	9	50526	0.002761	0.027347
12	10	41999	0.002295	0.019246
12	11	33903	0.001853	0.012372
12	12	12524	0.000684	0.006794
13	0	124185	0.006787	0.069908
13	1	9231	0.000504	0.051339
13	2	13171	0.00072	0.050034
13	3	19622	0.001072	0.048215
13	4	26812	0.001465	0.04549
13	5	33321	0.001821	0.041716
13	6	38203	0.002088	0.036932
13	7	39807	0.002176	0.031383
13	8	38456	0.002102	0.025529
13	9	35478	0.001939	0.019753
13	10	29716	0.001624	0.014414
13	11	23927	0.001308	0.009835
13	12	18326	0.001002	0.00611
13	13	6645	0.000363	0.003229
14	0	82879	0.004529	0.044938
14	1	5822	0.000318	0.033156
14	2	8194	0.000448	0.032355
14	3	12326	0.000674	0.031256
14	4	17125	0.000936	0.029604
14	5	21820	0.001192	0.027295
14	6	24925	0.001362	0.024332
14	7	26400	0.001443	0.020871
14	8	26200	0.001432	0.017192
14	9	23711	0.001296	0.013518
14	10	20324	0.001111	0.010117
14	11	16463	0.0009	0.007163
14	12	12714	0.000695	0.004745
14	13	9203	0.000503	0.002866
14	14	3264	0.000178	0.001463
15	0	53470	0.002922	0.027921
15	1	3686	0.000201	0.020668
15	2	5078	0.000278	0.020186
15	3	7513	0.000411	0.019535
15	4	10694	0.000584	0.018556
15	5	13581	0.000742	0.017183
15	6	16003	0.000875	0.015412
15	7	16590	0.000907	0.013314
15	8	16480	0.000901	0.011077
15	9	15401	0.000842	0.008835
15	10	13376	0.000731	0.00673
